iter	Logloss
0	0.6103928911
1	0.5471503023
2	0.4985729335
3	0.4591492822
4	0.4197426362
5	0.3906965191
6	0.3641052751
7	0.3382767265
8	0.3192442137
9	0.3014911048
10	0.2863555139
11	0.2680591898
12	0.2561953242
13	0.2450749801
14	0.2354405344
15	0.2245281951
16	0.2171284733
17	0.2092708226
18	0.2035331797
19	0.1986144124
20	0.1919298266
21	0.1879606127
22	0.1843530254
23	0.1792745239
24	0.1748916584
25	0.1717502847
26	0.168817197
27	0.1661555099
28	0.1635927968
29	0.1615675301
30	0.1587376953
31	0.1572967022
32	0.1553860301
33	0.1534357475
34	0.1513603612
35	0.1496700773
36	0.1482578655
37	0.1466734771
38	0.1456243264
39	0.1444366647
40	0.1429762833
41	0.1417639096
42	0.1409832143
43	0.1400819525
44	0.1389487954
45	0.1381600359
46	0.1373625163
47	0.1365298914
48	0.1355251766
49	0.1346622079
50	0.1337994122
51	0.1331285205
52	0.1325380019
53	0.1317086374
54	0.1308560129
55	0.1303590276
56	0.1296258692
57	0.1290421266
58	0.128254317
59	0.1276714357
60	0.1270871293
61	0.1263233941
62	0.1258750098
63	0.1254500794
64	0.1250295467
65	0.124682438
66	0.124284615
67	0.1237892497
68	0.1232959231
69	0.1228281745
70	0.1224377049
71	0.1219367515
72	0.1214438084
73	0.1209788807
74	0.1206801006
75	0.1203199344
76	0.1199527143
77	0.1195315423
78	0.1189656502
79	0.1185986474
80	0.1181053096
81	0.1177928921
82	0.1175832299
83	0.1171288817
84	0.1167274252
85	0.1162667643
86	0.1160552788
87	0.1158100358
88	0.115592715
89	0.1153401374
90	0.1149493271
91	0.1146821506
92	0.1144458039
93	0.114181186
94	0.1138839314
95	0.113731579
96	0.1133854166
97	0.1131891878
98	0.1130213611
99	0.1127215268
100	0.1124673987
101	0.1122084266
102	0.1120255728
103	0.1118395388
104	0.1115695178
105	0.111346392
106	0.1111743442
107	0.1109573426
108	0.1107562618
109	0.1104827092
110	0.110246092
111	0.11002905
112	0.1097776389
113	0.1095741581
114	0.109334631
115	0.1091871195
116	0.1090230629
117	0.1088247878
118	0.1085368062
119	0.1083505182
120	0.1082088215
121	0.1080665497
122	0.1078853137
123	0.1077439065
124	0.1075926339
125	0.1073720431
126	0.1071139871
127	0.1068872148
128	0.1067019165
129	0.1065738611
130	0.106305302
131	0.1061600253
132	0.1059797189
133	0.1058754569
134	0.1057736967
135	0.1055745182
136	0.1054301281
137	0.1053297886
138	0.105191553
139	0.1050609199
140	0.1048821837
141	0.1047868056
142	0.1046564813
143	0.1045129901
144	0.1043707688
145	0.1041866235
146	0.1039826355
147	0.1037674845
148	0.1036001367
149	0.1034543443
150	0.1032023779
151	0.1030494227
152	0.102829514
153	0.1026835844
154	0.1025525725
155	0.1024821627
156	0.1023396505
157	0.1022499858
158	0.1021131865
159	0.1019981475
160	0.1018643168
161	0.1017022325
162	0.1016210847
163	0.1015212624
164	0.1013453465
165	0.1012837966
166	0.101157354
167	0.1010202406
168	0.1009088545
169	0.1007475368
170	0.1006053669
171	0.1004968022
172	0.1004256097
173	0.1003243441
174	0.1002178368
175	0.1001115057
176	0.09999551091
177	0.09986280323
178	0.09972488884
179	0.09958543153
180	0.09949899484
181	0.09940391887
182	0.09932320263
183	0.09920629754
184	0.09911696766
185	0.09902588886
186	0.09894738651
187	0.09883790004
188	0.09877498238
189	0.09867933947
190	0.09861889102
191	0.09856650218
192	0.09847635592
193	0.09842470097
194	0.09837872859
195	0.09827566206
196	0.09817335479
197	0.09810606374
198	0.09801254676
199	0.09794160158
200	0.09781773007
201	0.09775999322
202	0.09767291688
203	0.0975854843
204	0.09746527019
205	0.09732999421
206	0.09727319782
207	0.09717729976
208	0.09707383803
209	0.09696431469
210	0.09689949096
211	0.09680120163
212	0.09667768192
213	0.09658415621
214	0.0964621361
215	0.09638896987
216	0.09627266898
217	0.096207637
218	0.09611785857
219	0.09604059787
220	0.09596658911
221	0.0958626021
222	0.09577333404
223	0.09567189578
224	0.09559923759
225	0.09552098956
226	0.09550008371
227	0.09542203771
228	0.09533089998
229	0.09525909206
230	0.09515925042
231	0.09509067555
232	0.09500391446
233	0.09490936638
234	0.09482794087
235	0.09477209085
236	0.09469010087
237	0.09463448196
238	0.09454039625
239	0.09445861555
240	0.09441156002
241	0.09432669447
242	0.09425781469
243	0.09419806398
244	0.09414223239
245	0.09406102738
246	0.09399451331
247	0.09389458213
248	0.09382456409
249	0.09376597204
250	0.09372168008
251	0.09364537515
252	0.0935550521
253	0.09348281909
254	0.09342931712
255	0.09335306495
256	0.09328544351
257	0.09322208814
258	0.09317738221
259	0.09313107043
260	0.09307689032
261	0.09299973873
262	0.09291488697
263	0.09286406447
264	0.09283864465
265	0.09277584595
266	0.09268862611
267	0.09263948442
268	0.09257447064
269	0.09253332975
270	0.0924469729
271	0.09235095054
272	0.0922700454
273	0.09218486431
274	0.09210788888
275	0.09203315244
276	0.09197861978
277	0.09193353903
278	0.09184469509
279	0.09178427662
280	0.09169068564
281	0.09162200519
282	0.09153628508
283	0.09147361539
284	0.09140591874
285	0.09132753365
286	0.09126786707
287	0.09117752459
288	0.09111082294
289	0.09106514348
290	0.091031246
291	0.09092537897
292	0.09086836927
293	0.09079043797
294	0.09071842941
295	0.09066366308
296	0.09060354909
297	0.09055262512
298	0.09050979484
299	0.09046724138
